,Course #,Section,Course Title,Instructor,Day(s),Start time,End Time,Max,Enrolled
CSE,5382,1,Secure Programming,Jones,F,2:00 PM,04;50 pm,40,40
CSE,6367,1,Computer Vision,Kamangar,W,7:00 PM,9:50 PM,40,24
CSE,1301,1,Computer Literacy,Kashefi,MW,4:00 PM,5:20 PM,60,13
CSE,1301,3,Computer Literacy Lab,Kashefi,M,5:30 PM,8:20 PM,20,7
CSE,1301,4,Computer Literacy Lab,Kashefi,W,7:00 PM,9:50 PM,20,6
CSE,5344,1,Computer Networks ,Kashefi,TR,3:30 PM,4:50 PM,45,21
CSE,5344,2,Computer Networks ,Kashefi,TR,2:00 PM,3:20 PM,50,6
CSE,3310,1,Fundamentals of SFWR Eng,Khalili,TR,12:30 PM,1:50 PM,45,45
CSE,5325,1,Sfwr Eng II,Khalili,TR,2:00 PM,3:20 PM,45,20
CSE,5335,20,Web Data Management,Khalili,BUPT,,,9,0
CSE,6324,1,Adv Tops Software Eng,Khalili,TR,9:30 AM,10:50 AM,30,25
CSE,6324,22,Adv Tops Software Eng,Khalili,TR,9:30 AM,10:50 AM,9,10
CSE,3311,1,Object-Oriented Sftw Eng,Kung,TR,3:30 PM,4:50 PM,45,45
CSE,5328,1,Sfwr Eng Team Project,Kung,TR,5:30 PM,6:50pm,30,10
CSE,1311,2,Intro to Programming Engrs,Laleh,TR,5:30 PM,6:50 PM,80,58
CSE,4321,1,Software Testing,Lei,TR,11:00 AM,12:20 PM,47,37
CSE,4392,1,Special Topics,levine,MW,5:30 PM,6:50 PM,10,10
CSE,5381,1,Information Security II,Levine,MW,5:30 PM,6:50 PM,30,24
CSE,6331,1,Adv Tops Database ,Levine,MW,4:00 PM,5:20 PM,35,35
CSE,6331,4,Adv Tops Database ,Levine,MW,2:30 PM,3:50 PM,40,40
CSE,4380,1,Information Security,Lloyd,MW,4:00 PM,5:20 PM,45,36
CSE,4380,2,Information Security Lab,Lloyd,W,7:00 PM,10:00 PM,18,15
CSE,4380,3,Information Security Lab,Lloyd,M,5:30 PM,8:30 PM,18,18
CSE,4380,4,Information Security Lab,Lloyd,F,12:30 PM,3:20 PM,9,3
CSE,5369,1,Intelligent Systems,Makedon,TR,2:00 PM,3:20 PM,12,8
CSE,6369,2,Spec Tops Adv Intelligent Sys,Makedon,TR,2:00 PM,3:20 PM,12,9
CSE,2312,1,Computer Org & Assemb Lang,McMurrough,MW,4:00 PM,5:20 PM,45,45
CSE,4316,1,Computer System Dsgn I,McMurrough,MW,11:00 AM,11:50 AM,30,30
CSE,4316,2,Computer System Dsgn I,McMurrough,F,9:00 AM,10:50 AM,30,30
CSE,4317,1,Computer System Dsgn II,McMurrough,TR,9:30 AM,10:50 AM,30,30
CSE,4317,2,Computer System Dsgn II,McMurrough,F,11:00 AM,12:00 PM,30,30
CSE,5380,1,Information Security I,Ming,F,4:00 PM,6:50 PM,45,45
CSE,5380,2,Information Security I lab,Ming,T,7:00 PM,10:00 PM,18,18
CSE,5380,3,Information Security I lab,Ming,R,5:30 PM,8:30 PM,18,18
CSE,5380,4,Information Security I lab,Ming,F,12:30 PM,3:20 PM,9,9
CSE,1310,1,Intro Computers & Programming,Moore,MW,7:00 PM,8:20 PM,45,45
CSE,5306,2,Distributed Systems,Morgan,MWF,11:00 AM,11:50 AM,40,41
CSE,5306,3,Distributed Systems,Morgan,MWF,10:00 AM,10:50 AM,40,40
CSE,5345,1,Fundamentals of Wireless,Mufti,R,5:30 PM,8:20 PM,40,39
CSE,3330,2,Database Sys & File Structures,Park,TR,7:00 PM,8:20 PM,45,45
CSE,1310,3,Intro Computers & Programming,Qudah,TR,12:30 PM,1:50 PM,45,45
CSE,3320,2,Operating Systems,Rao,TR,2:00 PM,3:20 PM,45,45
CSE,1325,1,Object Oriented Programming,Rice,TR,12:30 PM,1:50 PM,40,40
CSE,1325,2,Object Oriented Programming,Rice,TR,8:00 AM,9:20 AM,40,22
CSE,1325,3,Object Oriented Programming,Rice,TR,9:30 AM,10:50 AM,40,34
CSE,4321,2,Software Testing,Robb,TR,3:30,4:50 PM,20,22
CSE,5321,1,Software Testing,Robb,TR,3:30 PM,4:50 PM,43,18
CSE,5321,2,Software Testing,Robb,TR,2:00 PM,3:20 PM,45,45
